Project name,Institutions_clean,institution_ids,Head_institutions,Countries_ISO2,Public value framing,Public values (labels),Technical objectives,Public/private,Funding sources,Operational status,Open access,Scope,Geographic coverage,Data types,Data collection methods,TK from IPLCs,User interface,Real-time data,What-if modelling,Decision-support function,Homepages,Other relevant sources,Notes
An Operational System using Real-time Subsurface Observations to Improve Loop Current Forecasts 2022-2027,Ensenada Center for Scientific Research and Advanced Studies (CICESE),50,Government of Mexico,MX,"Here, we respond to the call to improve forecasts of the Loop Current (LC) system. We propose to demonstrate the operational capabilities resulting from the assimilation of sub-surface observations. The focus on these observations is a direct response to the dynamics of ocean storms; the timing and intensity of LC eddy separation events are a response to the interaction between the LC and intense, large-scale eddies. Our primary objective is to demonstrate the feasibility and impact of acquiring and assimilating T/S profiles and subsurface currents and pressures to improve LC system forecasting. To this end, we will demonstrate a cost-effective system that provides near-real-time subsurface data from three critical regions to improve LC predictability: the boundary conditions at the entrance to the Yucatán Channel, the deep Gulf where the LC
 ",disaster prevention,"demonstrate the feasibility and impact of acquiring and processing T/S profiles and subsurface flow and pressure data to improve LC system forecasting. To this end, we will demonstrate a cost-effective system that provides near-real-time subsurface data from three regions critical to improving LC predictability: the boundary conditions at the entrance to the Yucatán Channel, the deep Gulf of Mexico where LC",public,,operational,,local,the boundary condition at the entrance to the Yucatán Channel,oceanographic,remote sensing,no,no,yes,yes,no,https://www.cicese.edu.mx/investigacion/oceanografia_fisica/3,,Information about the research project is displayed in pop-up windows. 
Anti-piracy decision support system,Centre for Maritime Research and Experimentation of North Atlantic Treaty Organization (CMRE),51,North Atlantic Treaty Organization (NATO),IT,"The purpose of this contribution was to design and implement a decision support web service to help plan counter-piracy patrols over the course of days, weeks or months given that pirates are more likely to operate in favourable environmental conditions. Specifically, the problem consisted in devising an asset allocation scheme over an arbitrary planning horizon by relying on successive environmental forecasts. [...] Although demonstrated within the context of counter-piracy off the coast of Somalia, this decision support system is general and can be used for planning a number of operations by changing the risk map generation and input.",better decision-making; disaster prevention,environmental risk conditions prediction,public,NATO Allied Command Transformation (ACT),,no,global,,oceanographic,remote sensing,no,yes,periodic,no,human,https://www.cmre.nato.int/,,Actual tool web page not publicly available
AquaINFRA Interaction Platform (AIP),German Climate Computing Center (DKRZ); University of Malta; Blue Lobster; Karlsruhe Institute of Technology (KIT); Leibniz Institute of Freshwater Ecology and Inland Fisheries (IGB); Norwegian Institute for Water Research (NIVA); Centre for Scientific Computing (CSC); Finnish Environment Institute (SYKE); Helmholtz-Zentrum Hereon; Estonian Marine Institute; SINTEF; Baltic Marine Environment Protection Commission (HELCOM); National Land Survey of Finland; Technical University Dresden (TUD); 52°North Spatial Information Research; European Open Science Cloud (EOSC) ; University of Natural Resources and Life Sciences (BOKU); Centre for Ecological Research and Forestry Applications (CREAF); Aalborg University; Institute of Marine Sciences (ICM); Latvian Institute of Aquatic Ecology (LIAE); Bochum University of Applied Sciences,52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73,German Climate Computing Center (DKRZ); University of Malta; Karlsruhe Institute of Technology (KIT); Norwegian Institute for Water Research (NIVA); Leibniz Institute of Freshwater Ecology and Inland Fisheries (IGB); Centre for Scientific Computing (CSC); European Union; Blue Lobster IT Ltd; University of Natural Resources and Life Sciences; Helmholtz-Zentrum Hereon; SINTEF; National Land Survey of Finland; Technical University Dresden (TUD); 52°North Spatial Information Research; University of Tartu; University of Helsinki; Centre for Ecological Research and Forestry Applications (CREAF); National Research Council of Spain (CSIC); Aalborg University; Latvian Institute of Aquatic Ecology (LIAE); Bochum University of Applied Sciences,DK; LV; BE; DE; FI; AT; GB; ES; EE; NO; MT,"The overall objective of the project is to develop a virtual environment equipped with FAIR multi-disciplinary data and services to support marine and freshwater scientists and stakeholders restoring healthy oceans, seas, coastal and inland waters. The AquaINFRA virtual environment will enable the target stakeholders to store, share, access, analyse and process research data and other research digital objects from their own discipline, across research infrastructures, disciplines and national borders leveraging on EOSC and the other existing operational dataspaces (e.g., EMODnet, Copernicus Marine Service, Digital Twins, etc.).The initial level of the existing solutions for data access in marine domain are at the Technology Readiness Level (TRL) 7-8. Many services, such as Blue-Cloud data discovery and access service and NextGEOSS, have reached a maturity level, where they can already be seen as finalised end-user products in terms of usability.",stakeholder inclusion; basic research,"cross-domain discovery & access to marine + freshwater + socio-economic data via EOSC; provide a virtual research environment for data harmonization, processing, quality assessment and workflow sharing; support spatio-temporal analysis & modelling across freshwater and sea basins",public,EU Horizon Europe,development,fully,regional,"Baltic Sea, the North Sea, Mediterranean and Pan-European regions",oceanographic; biological; social; spatial,in-situ; remote sensing; citizen science,no,yes,yes,yes,human,https://aquainfra.eu ; https://aqua.usegalaxy.eu/,https://cms.aquainfra.eu/files/AquaINFRA%20Newsletter%20April%202025%20V1.0.pdf,Will be made interoperable with EU DTO; AIP sister project Blue Cloud
AquaSafe Platform,Hidromod,74,Hidromod,PT,"AquaSafe delivers reliable, high-resolution metocean forecasts validated by real-time observations, focusing on fish feeding, water pumping energy optimization, efficient, user-friendly services to support marine spatial planning, navigation safety and efficiency, including guidance on port/harbour traffic management. ",better ocean systems data; sustainable shipping; disaster prevention,data integration; providing data and models ,private,Hidromond,operational,no,global,global,oceanographic; biological; spatial,remote sensing; in-situ,no,yes,yes,yes,human,https://aquasafe.hidromod.com/platform/info,,
Artificial Intelligence for Environment and Sustainability (ARIES),Basque Centre for Climate Change – Klima Aldaketa Ikergai (BC3),75,Basque Centre for Climate Change – Klima Aldaketa Ikergai (BC3),ES,Open-source web-based platform for integrating ecosystem services data and models.,basic research; better decision-making; stakeholder inclusion,"Linking ecosystem service models with economic models by biophysical units (e.g., carbon, sediment, and flood water) and abstract units (e.g., ranking view quality or recreational value) as appropriate.",public,"NextGenerationEU; Spain Ministerio de Cienca, Innovacion y universidades; EU Transformation Fund",operational,fully,global,Global,oceanographic; social; biological; spatial,remote sensing; in-situ,no,yes,yes,yes,no,http://aries.integratedmodelling.org/,,this is kind of not a single modelling project but a project that is active in many different smaller projects 
ASAP Platform,WaterWebTools; WateriTech,76;77,WateriTech,DK,"The ASAP Platform by WaterITech & WaterWebTools is a multi-source integration platform that overlay with modeling, IoT, and weather data, and enables highly advanced forecasting and analysis. The ASAP platform operationalizes the SWAT+ catchment model and the GOTM-WET lake and lagoon model. By coupling to local weather forecasts, the platform can produce 9-day hydrological forecasts for the catchment runoff as well as forecasts for the lagoon water quality dynamics. By allowing real-time sensor data to be assimilated into the model forecasts, the ASAP Platform can comprise a digital twin of a coupled catchment-lagoon/lake system.",basic research,monitoring and forecasting weather and water quality,private,Horizon Europe,operational,,local,"Mar Menor, Murcia, Spain",oceanographic; spatial,in-situ; remote sensing,no,yes,yes,,,https://www.wwt-platform.com/,,
"Assessment of the potential economic, territorial, environmental, and cultural impacts resulting from dredging operations in the access channel to the Port of Buenaventura, Valle del Cauca.",Institute for Marine and Coastal Research (INVEMAR),78,,CO,"To characterize the physical, biological, and fisheries components, sediment quality, as well as socioeconomic and cultural aspects in the coastal zone of the Buenaventura district, in relation to dredging activities in the bay.
",coastal zone protection,"Apply hydrodynamic, sediment dispersion, and morphodynamic models, using different scenarios and multitemporal analysis in the coastal zone of the district of",public,,operational,,local,"Puerto de Buenaventura, Valle del Cauca (Colombia)",biological; social,,no,no,no,no,no,https://www.invemar.org.co/es/proyectos,,This is a webpag with an excel sheet with information about projects of INVEMAR. I have not found webpages of the projects themselves
AtlanticSENSE,CoLAB +ATLANTIC,79,CoLAB +ATLANTIC,PT,Atlantic SENSE by +ATLANTIC is a geospatial platform designed to support climate resilience and environmental monitoring across the Atlantic Basin.,climate change mitigation,comprehensive modeling of atlantic basin,public,Horizon Europe,operational,partially,regional,Atlantic Basin,oceanographic; spatial,in-situ; remote sensing,no,yes,yes,yes,human,https://www.atlanticsense.com/,https://oceandecade.org/actions/digital-twins-of-the-ocean-ditto/,
Balearic Islands Coastal Observing and Forecasting System (SOCIB),"Region of Balearic Islands; Ministry of Science, Innovation and Universities of Spain; National Research Council of Spain (CSIC)",80;81;82,Region of Balearic Islands; Government of Spain; National Research Council of Spain (CSIC),ES,"a suite of user-oriented tools in the Mediterranean Sea that translate scientific knowledge into accessible information for stakeholders; continuous and timely monitoring of essential ocean variables (e.g. temperature, salinity, chlorophyll-a concentration, sea level, currents, winds) as well as key derived indicators (e.g. anomalies, gradients, ocean heat content, mixed layer properties, transports)",better decision-making; stakeholder inclusion,,public,"Spanish Ministry of Science, Innovation and Universities",operational,fully,regional,all sub-regions of the Mediterranean Sea,oceanographic; spatial; biological,remote sensing; in-situ,no,yes,yes,yes,human,https://apps.socib.es/dapp/ ; https://www.socib.es/,,
Ballast Water DST,Baltic Marine Environment Protection Commission (HELCOM); OSPAR Commission,83;84,,FI; GB,"The BWMC DSS model can be directly used in the decision process by the port State authorities of all countries, or in the next steps a cross-border electronic BWMC DSS could be established to support the reporting and data exchange between vessels and authorities, as well as among Baltic Sea countries",better decision-making,"A system for granting exemptions based on risk assessments, providing knowledge and tools for authorities, and developing online services to facilitate data sharing and regional cooperation among stakeholders",public,"HELCOM ALIENS 2 and 3 projects, EU BALSAM project",operational,fully,regional,Baltic and North sea,oceanographic; spatial,in-situ,no,yes,no,yes,human,https://maps.helcom.fi/website/ra_tool,,
BCE Restoration Tool,Deakin University; RMIT University,85;86,Deakin University; RMIT University,AU,"identifying potential restoration areas in blue carbon ecosystems (BCEs), such as mangroves, saltmarshes, and seagrasses",better decision-making; ecosystem restoration,"geographic Information System (GIS)-based multi-criteria decision support tool to identify suitable areas for BCE restoration; high-resolution spatial data on BCE distribution, coastal geomorphology, hydrodynamics, and land tenure were integrated into a flexible spatial model that distinguishes between passive and active restoration suitabilit",public,"Australian Research Council, Beach Energy",pilot,fully,local,"2512 km-long coastline of Victoria, Australia",oceanographic; spatial; biological; social,desk research,no,yes,no,yes,human,-,,
BEMTOOLS,COISPA Tecnologia & Ricerca,87,COISPA Foundation,IT,management of multi-stock and multiple gears fisheries,blue economy,"aims to combine ecological / biological data with economic and social parameters, enabling analysis of trade-offs and synergies between biodiversity (or ecosystem) outcomes and human-use / economic objectives",public,EU; EU Regional Fund,operational,fully,global,worldwide application possible,oceanographic; social,in-situ; desk research,no,no,no,yes,human,https://www.coispa.it/pubblicazioni/software/en/1/bioeconomic-model-tools.html,,
BenthOBS,LIENSs Laboratory ; University of Lille; European Institute for Marine Studies (IUEM); University of Bordeaux; Sorbonne University; National Center for Scientific Research (CNRS); University of Caen; French National Institute for Ocean Science (IFREMER),88;89;90;91;92;93;94;95,University of Lille; University of Bordeaux; University of La Rochelle; Sorbonne University; University of Caen; French National Institute for Ocean Science (IFREMER); University of Western Brittany (UBO); Government of France,FR,"national network for the observation of marine benthic macrofauna (macrozoobenthos) deployed on the French coasts in metropolitan and ultra-marine areas; Sampling, analysis and taxonomic identification follow a common standardised protocol. In addition, the operators participate each year in a benthic taxonomy inter-comparison workshop",better ocean systems data; stakeholder inclusion,data storage and access system for the national benthic macrofauna observation network in France,public,French Ministry of Higher Education through CNRS/INSU,operational,fully,regional,France,oceanographic; biological; spatial,in-situ,no,yes,no,no,no,data.benthobs.fr/dash,,
Blue-Cloud 2026,European Molecular Biology Laboratory (EMBL); IEEE France; Balearic Islands Coastal Observing and Forecasting System (SOCIB); Institute of Oceanology Polish Academy of Sciences; National Research Council of Italy (CNR); The European Multidisciplinary Seafloor and Water Column Observatory; Royal Netherlands Meteorological Institute (KNMI); ETT Solutions; Oceanscope ; Pokapoka; Nansen Environmental and Remote Sensing Center (NERSC); SIOS Knowledge Centre; Hub Ocean; Trust-iT Services; National Institute of Geophysics and Volcanology (INGV); University of Amsterdam; Flanders Marine Institute (VLIZ); Mercator Ocean International (MOI); Swiss Federal Institute of Techlogy Zurich (ETHZ); O Instituto Hidrográfico (IH); Hellenic Centre for Marine Research (HCMR); EuroGOOS; Swedish Meteorological and Hydrological Institute (SMHI); University of Liege (ULiege); Seascape; Sorbonne University; Alfred-Wegener Institute (AWI); Forth Institute of Computer Science; IFREMER; National Research Institute for Sustainable Development of France (IRD); European Grid Infrastructure (EGI); National Institute of Oceanography and Applied Geophysics of Italy (OGS); British Oceanographic Data Centre (BODC),96;97;98;99;100;101;92;102;103;104;105;106;107;108;109;110;111;112;113;1;114;115;116;117;118;119;120;121;122;123;124;125;126,European Molecular Biology Laboratory (EMBL); Svalbard Integrated Arctic Earth Observing System (SIOS); Swiss Federal Institute of Techlogy Zurich; EuroGOOS AISBL; National Research Council of Italy (CNR); National Oceanography Centre (NOC); Government of Portugal; Royal Netherlands Meteorological Institute (KNMI); Government of Spain; Foundation for Research and Technology – Hellas (FORTH) ; Pokapoka; Oceanscope ; Hub Ocean; Trust-iT Services; National Institute of Oceanography and Applied Geophysics of Italy (OGS); University of Amsterdam; Flanders Marine Institute (VLIZ); Mercator Ocean International (MOI); Nansen Center; Swedish Meteorological and Hydrological Institute (SMHI); University of Liege (ULiege); Seascape; EGI Federation; Sorbonne University; European Research Infrastructure Consortium; Alfred-Wegener Institute (AWI); Government of France; Polish Academy of Sciences; IEEE; ETT Group; Government of Italy; Government of Greece,IT; NL; PT; BE; DE; GR; CH; SE; GB; PL; FR; ES; NO,providing access to FAIR and Open marine data and analytical services to advance research for the EU Blue Economy,blue economy; better ocean systems data,"federated European ecosystem for FAIR and Open marine and aquatic data by developing a web-based platform with services for finding, accessing, and analyzing multidisciplinary datasets",public,EU Horizon ,pilot,partially,regional,EU ,oceanographic; spatial; biological,remote sensing; in-situ,no,yes,yes,yes,human,https://blue-cloud.org/blue-cloud-virtual-research-environment,,
BMT ,BMT,127,BMT,GB,"Our vision is for better futures through collaboration and innovation. We will help you understand, adapt, and protect our environments, from flooding to the decarbonisation of defence agencies and government assets and from remediation of hazardous waste challenges to advising on the sustainability of aquaculture.",disaster prevention; climate change mitigation; combat pollution; better decision-making,"We support customers at every stage of the project lifecycle with a wide range of high-quality products and services, all backed by our expertise across sectors, geographies and disciplines.",private,,operational,no,global,global,,,,,,,,https://www.bmt.org,,
Bridge-BS,"Institute of Marine Sciences, Middle East Technical University (METU)",128,Middle East Technical University (METU),TR,"BRIDGE-BS will support the development of an informed, well connected, educated, and empowered Black Sea community, including scientists, institutions, policymakers, and the society at large. It will create a flow of knowledge between scientists, policymakers, and entrepreneurs, working side-by-side from the beginning of the project. This approach will develop trust and complementarity, one of the main goals of BRIDGE-BS, which is necessary to prepare for future marine environmental challenges and ensure Blue Growth potential in the best possible way. Sustainability is at the core of the project. BRIDGE-BS will develop predictive tools and capabilities necessary to understand and predict the impacts of climate-driven and anthropogenic multi-stressors on the services stemming from Black Sea ecosystems. These services and their responses to stressors will be mapped, monitored, and modeled to identify a safe operating space within which a sustainable blue economy can flourish.",basic research; blue economy; stakeholder inclusion; climate change adaptation,ecosystem-based management framework,public,EU; EU HORIZON 2020,pilot,,regional,Black sea,oceanographic; spatial; biological,in-situ; remote sensing,no,yes,no,no,human,https://bridgeblacksea.org,,
